TAXON	F1M.1	F1M.2	F1M.3	F1T1.1	F1T1.2	F1T1.3	F1T2.1	F1T2.2	F1T2.3	F2M.1	F2M.2	F2M.3	F2T1.1	F2T1.2	F2T1.3	F2T2.1	F2T2.2	F2T2.3	F3M.1	F3M.2	F3M.3	F3T1.1	F3T1.2	F3T1.3	F3T2.1	F3T2.2	F3T2.3	F4M.1	F4M.2	F4M.3	F4T1.1	F4T1.2	F4T1.3	F4T2.1	F4T2.2	F4T2.3	F5T1.1
Peptostreptococcaceae_incertae_sedis	0.00025412960609911054	0.0	0.0	0.0	0.0	0.0	0.0001936108422071636	0.001021972406745018	0.0	0.0	0.0	0.0	0.00032109600770630417	0.000693000693000693	0.0	0.00042884711600314486	0.0	0.0	0.00019615535504119262	0.00042087542087542086	6.601967386281111e-05	0.0	0.0	0.0005773672055427252	0.00045951189625242504	0.00019821605550049553	0.00372362432767894	0.0006526941765175141	0.0	0.00032562683165092806	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Atopobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.252157516861267e-05	0.0	0.0	8.378016085790885e-05	0.0	0.0	0.0	0.0	0.0	0.0
Dialister	0.0	0.0005558643690939411	0.0	0.007014809041309435	0.00860479409956976	0.0	0.0032268473701193945	0.001021972406745018	0.0038572806171648993	0.0001295840352468576	0.0	0.0	0.011666488279995718	0.009355509355509356	0.01254125412541253	0.0	0.0	0.0042935206869633095	0.010723159408918529	0.008627946127946129	0.014359279065161323	0.00010165700925078785	0.0	0.0	0.033033799652813625	0.042220019821605385	0.03185767480347533	0.010153020523605767	0.028928136419001257	0.015630087919244535	8.378016085790885e-05	0.0	0.0012594458438287153	0.03274936868686852	0.012165978709537258	0.027478448275862086	0.0
Acidaminobacter	0.0	0.0	0.0	0.0	0.0006146281499692685	0.0	0.00012907389480477574	0.0	0.0	0.0001295840352468576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.53851183470642e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.252157516861267e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gemella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.147451933385748e-05	0.0	0.0	0.0	0.0	3.3009836931405556e-05	0.0	0.0	0.0	5.1056877361380575e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Caloranaerobacter	0.0	0.0	0.0	0.0	0.0	0.0	6.453694740238787e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Succiniclasticum	0.0	0.0	0.0	0.0	0.0	0.0	6.453694740238787e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009478672985781991	0.0	0.0	0.0	0.0	0.0
Pyramidobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003988686634273697	0.0003045066991473812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Veillonella	0.0	0.0	0.0	0.0	0.0	4.9281718946356846e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00039032006245121	0.0	0.0	9.902951079421667e-05	0.0002033140185015757	0.0005059448520111307	0.0	0.004544062085162866	0.0	0.0	0.0	0.001218026796589525	0.0	0.0	0.0	0.0012594458438287153	7.891414141414142e-05	0.00021724961981316532	0.0	0.0
Tardiphaga	0.0	0.0	0.0	0.0	0.0	0.0	6.453694740238787e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Psychrilyobacter	0.0	0.0	0.0	0.0	0.0	0.0	6.453694740238787e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ignavigranum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006512536633018561	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sneathia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000217564725505838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bilophila	0.0006353240152477764	0.0	0.003196022727272728	0.0003117692907248636	0.0006146281499692685	7.392257841953527e-05	0.0007099064214262668	0.001021972406745018	0.00048216007714561236	0.0001295840352468576	0.00023121387283236994	0.0	0.003960184095044418	0.0027720027720027724	0.0	0.0	0.0	0.00039032006245121	0.0012423172485942198	0.0	0.0011223344556677889	0.0004066280370031514	0.0	0.0022132409545804472	0.0002042275094455223	0.0	0.0	0.000217564725505838	0.00243605359317905	0.0016281341582546403	0.0	0.0009478672985781991	0.0	0.0	0.0	0.0016163793103448276	0.00041476565740356696
Adlercreutzia	0.0	0.0	0.0	0.0	0.0006146281499692685	0.0	0.0002581477896095515	0.0	0.00048216007714561236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.252157516861267e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Allisonella	0.0	0.0	0.0	0.0003117692907248636	0.0006146281499692685	0.0	0.00012907389480477574	0.0	0.00048216007714561236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003923107100823852	0.0014730639730639729	0.0012873836403248166	0.0	0.0	9.622786759045419e-05	0.0005105687736138056	0.0	0.0	0.00029008630067445067	0.0003045066991473812	0.0	0.0	0.0	0.0	0.00055239898989899	0.00021724961981316532	0.0	0.0
