TAXON	F1M.1	F1M.2	F1T1.1	F1T1.3	F1T2.1	F1T2.2	F1T2.3	F2M.1	F2M.2	F2M.3	F2T1.1	F2T1.2	F2T1.3	F2T2.1	F2T2.2	F3M.1	F3M.2	F3T1.1	F3T1.2	F3T1.3	F3T2.2	F3T2.3	F4M.2	F4M.3	F4T1.1	F4T1.2	F4T1.3	F4T2.1	F4T2.3	F5T2.1
PHAGE_Bacill_Riley	4.030145488252126e-05	0.0	0.0	0.0	0.0	0.0	0.0015128593040847202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00024743288383026105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Acinet_YMC_13_01_C62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016038492381716118	0.0	0.000122684333210649	0.0	0.0	9.613535858488752e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00012371644191513053	0.0	0.0002079434393844874	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Shrimp_white_spot_syndrome_virus	0.0	0.0	0.0	0.001098297638660077	0.0	0.0011668611435239206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Bacill_phi29	4.030145488252126e-05	0.00024703557312252963	0.0	0.047775947281713346	0.024121657052962767	0.051341890315052506	0.06202723146747353	0.0036888532477947072	0.0	0.002208317997791682	0.0	0.0	0.0	0.0025220680958385876	0.0005551590134031248	0.001336898395721925	0.06759443339960239	0.0	0.00019633507853403142	0.0001183011948420679	0.004246284501061571	0.0003711493257453916	0.0	0.03451861093782491	0.06544202066590127	0.12406947890818859	0.0	7.291286912139993e-05	0.002028397565922921	0.018726591760299626
PHAGE_Sinorh_PBC5	0.0	0.0	0.0	0.0005491488193300384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00012371644191513053	0.0	0.0	0.0	0.0	0.0	0.0002187386073641998	0.0	0.0
PHAGE_Campyl_CPX	0.00012090436464756378	0.0	0.010126582278481013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHAGE_Bacill_vB_BceM_Bc431v3	4.030145488252126e-05	0.0	0.0	0.001098297638660077	0.0	0.003500583430571762	0.0015128593040847202	0.00016038492381716118	0.0010513404590853338	0.0	0.0	0.0	0.0	0.0005044136191677175	0.0	0.0006684491978609625	0.0019880715705765406	0.0	0.0	0.0	0.0010615711252653928	0.0	0.0001768033946251768	0.0002079434393844874	0.003444316877152698	0.0	0.0007097232079489	0.0003645643456069996	0.0010141987829614604	0.0
PHAGE_Cellul_phi13:2	0.0	0.0	0.0	0.0005491488193300384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001008827238335435	0.0	0.001336898395721925	0.0019880715705765406	0.0	0.0	0.0	0.00035385704175513094	0.0	0.0	0.0	0.002296211251435132	0.0	0.0	0.0	0.0	0.0
PHAGE_Pseudo_AF	8.060290976504251e-05	0.0	0.0	0.001098297638660077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017692852087756545	0.0	0.0	0.0	0.0	0.0	0.0049680624556423	0.00014582573824279985	0.0	0.0
PHAGE_Callit_herpesvirus_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00012371644191513053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
